,placekey,location_name,top_category,naics_code,poi_cbg
9174,22g-223@628-pmb-ht9,Power Plant Productions,Lawn and Garden Equipment and Supplies Stores,4442,421010001002.0
9175,22h-223@628-pgb-g8v,Peddler Coffee,Restaurants and Other Eating Places,722515,421010003002.0
9176,22h-224@628-p9s-2tv,Momma Mia's Pizzeria,Restaurants and Other Eating Places,722511,421010365021.0
9177,22j-222@628-pm4-fcq,Mi Pals Deli,Restaurants and Other Eating Places,722513,421010039013.0
9178,22j-223@628-pgg-n5z,Ummi Dee's burger bistro,Restaurants and Other Eating Places,722511,421010173001.0
9179,22k-223@63s-dvy-94v,Swirl Cafe,Restaurants and Other Eating Places,722515,421010079002.0
9180,22m-222@628-p7v-nh5,Dunkin',Restaurants and Other Eating Places,722515,421010338005.0
9181,22m-222@628-pgf-3yv,Cornerstone Bed & Breakfast,Traveler Accommodation,721110,421010090001.0
9182,22p-222@628-pgb-gp9,Umai Umai,Restaurants and Other Eating Places,722511,421010134012.0
9183,22q-222@628-p84-2zf,Psychic Readings by Teresa,Offices of Other Health Practitioners,621330,421010344002.0
9184,22t-222@628-phz-9cq,Chihuaha Bar Restaurant,Restaurants and Other Eating Places,722511,421010285001.0
9185,22w-222@628-p7w-6zf,Little Learners Day Care,Child Day Care Services,624410,421010336003.0
9186,22w-222@63s-dw2-249,Deeper Life Bible Church Inc,Religious Organizations,813110,421010096001.0
9187,22y-222@628-pg2-hdv,Rothe Florist,Florists,453110,421010388002.0
9188,232-223@628-pm4-pn5,Charlie's Produce,Grocery Stores,445110,421010024004.0
9189,233-222@628-pm4-3t9,A Lin Kitchen,Restaurants and Other Eating Places,722511,421010041014.0
9190,235-222@628-pp5-ct9,Bank of America,Depository Credit Intermediation,522110,421010188005.0
9191,237-222@628-p7b-s5z,Karma Kleanouts & Moving,Waste Management and Remediation Services,562,421010348021.0
9192,23d-222@63s-dvy-wrk,The Second Mile Center,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319,421010086012.0
9193,23r-223@628-pm4-fmk,Robert Chiarella's Gourmet Pizzeria,Restaurants and Other Eating Places,722511,421010039013.0
9194,23v-222@628-ph5-wff,AG Home Care Services,Home Health Care Services,621610,421010101001.0
9195,23x-222@628-p7z-zs5,Holy Spirit Evangelical Lutheran Church,Religious Organizations,813110,421010311024.0
9196,242-222@628-p7z-py9,Eglise Baptiste Schekina De Philadelphia,Religious Organizations,813110,421010311013.0
9197,24h-222@628-pj7-47q,Mom Mom's Flowers & Events,Florists,453110,421010305012.0
9198,24x-222@628-pm3-t5f,Noord,Restaurants and Other Eating Places,722511,421010028024.0
9199,24x-222@628-pm5-pgk,168 Chinese Kitchen,Restaurants and Other Eating Places,722511,421010041022.0
9200,25j-222@628-pmb-c3q,Blendo,"Jewelry, Luggage, and Leather Goods Stores",448310,421010011022.0
9201,25q-222@628-pm4-3dv,Bomb Bomb,Restaurants and Other Eating Places,722511,421010040021.0
9202,zzw-222@628-p8d-kfz,Amera,Gasoline Stations,447110,421010382003.0
9203,zzw-222@628-p8h-pgk,Keystone Academy Charter School,Elementary and Secondary Schools,611110,421010325004.0
9204,zzw-222@628-pgf-cnq,Glas Guys,Automotive Repair and Maintenance,8111,421010092002.0
9205,zzw-222@628-pgy-mzf,Doc's World of Beer,"Beer, Wine, and Liquor Stores",445310,421010384002.0
9206,zzw-222@628-ph6-v2k,Beeber Dimner Ms,Elementary and Secondary Schools,611110,421010118005.0
9207,zzw-222@628-phy-rc5,Family Dollar Stores,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319,421010287001.0
9208,zzw-222@628-pm4-hbk,The Philly Pack,Other Miscellaneous Store Retailers,453910,421010039014.0
9209,zzw-222@628-pnx-pn5,Lechonera Principe,Restaurants and Other Eating Places,722511,421010156001.0
9210,zzw-222@63s-dvq-xh5,Richard Allen Preparatory Cs,Elementary and Secondary Schools,611110,421010069002.0
9211,zzw-222@63s-dvz-28v,Adoption ARC,Outpatient Care Centers,621410,421010087021.0
9212,zzw-222@63s-dwf-7yv,,,0,421010060002.0
9213,zzw-223@628-pmb-835,Fine Wine and Good Spirits,"Beer, Wine, and Liquor Stores",445310,421010005001.0
9214,zzw-223@628-pp4-pd9,Visitation School,Elementary and Secondary Schools,611110,421010163001.0
9215,zzw-223@63s-dwg-835,Health Street,Medical and Diagnostic Laboratories,621511,421019809001.0
9216,zzw-224@628-pm4-k2k,Viet Kitchen,Restaurants and Other Eating Places,722511,421010024002.0
9217,zzw-224@63s-dw7-gkz,Aviation Grill,Restaurants and Other Eating Places,722511,421019804001.0
